1,101,5
1,102,4
1,103,3
1,104,5
2,101,4
2,103,5
2,105,3
2,106,4
3,102,5
3,103,4
3,104,2
3,107,5
4,101,3
4,104,5
4,105,4
4,108,5
5,102,4
5,103,5
5,106,3
5,109,4
6,101,5
6,107,4
6,108,5
6,110,3
7,103,5
7,104,4
7,105,3
7,111,5
8,101,4
8,102,5
8,109,3
8,112,4
9,103,4
9,106,5
9,107,3
9,110,4
10,101,5
10,104,3
10,108,4
10,111,5
11,102,3
11,105,5
11,109,4
11,112,5
12,101,4
12,103,5
12,106,4
12,110,5
13,102,5
13,104,3
13,107,4
13,111,5
14,101,3
14,105,4
14,108,5
14,112,4
15,103,5
15,106,4
15,109,3
15,110,5
16,102,4
16,104,5
16,107,3
16,111,4
17,101,5
17,103,4
17,108,5
17,112,3
18,102,5
18,105,4
18,109,5
18,110,3
19,101,4
19,104,5
19,106,3
19,111,5
20,103,4
20,105,5
20,107,4
20,112,5
21,101,5
21,102,3
21,108,4
21,109,5
22,103,5
22,104,4
22,110,3
22,111,5
23,101,4
23,105,5
23,106,4
23,112,5
24,102,5
24,103,3
24,107,4
24,108,5
25,101,5
25,104,4
25,109,3
25,110,5
